x	y	t	particle
205.983446992	-1620.46271255	7963636363.64	18
205.969008775	-1630.05357565	8129545454.55	18
205.952718328	-1639.54625096	8295454545.45	18
205.934642719	-1648.94365038	8461363636.36	18
205.914845763	-1658.24854229	8627272727.27	18
205.893388289	-1667.4635672	8793181818.18	18
205.870328269	-1676.59124138	8959090909.09	18
205.845720966	-1685.63396339	9125000000.0	18
205.819619187	-1694.59402721	9290909090.91	18
205.792073354	-1703.47362433	9456818181.82	18
205.763131631	-1712.2748495	9622727272.73	18
205.732840134	-1720.99971052	9788636363.64	18
205.70124298	-1729.65012991	9954545454.55	18
205.668382397	-1738.22794995	10120454545.5	18
